2013/1/12,1,2nd Mohawk Brushfire War,Renewed hostilities between Mohawk nation and Quebec.
2015/10/16,3,Basic Powered Armour,Guiseppe Lapolito demonstrates powered armor by walking into Pentagon uninvited.
2015/8/6,2,P.R.China economy fails,As a result of badly damaged infrastructure PRC becomes economically non-viable. Barter becomes common.
2016/1/1,2,Moscow-Antartica Screen Shuttle,screen shuttle service between Moscow  New York  Antartica  and Tycho Brachae.
2017/1/1,2,Darrel Kaven Research Center,Darrel Kaven psychic research center is established in Santa Barbara California.
2018/6/1,2,Earth-Moon Shuttle servicve,Regular screen shuttle service between the earth and moon is established.
2019/4/14,2,Sanford Jackl dies,Sanford Jackl dies
2020/4/5,2,Sunscreen patents deeded to Mohawk Nation,Sunscreen Patents deeded to Mohawk Nation
2021/11/2,4,Summation Theory of Genetic Drift becomes accepted model for derivation of populations. 
2023/1/7,3,Interstellar Jam Probe, 1st Gauss-Jam Drive demonstrated in an interstellar probe.
2024/1/1,2,Penal Colony Selene,Establishment of lunar penal colony Selene by NorAm Combine.
2024/5/5,1,Montreal Massacre,Montreal massacre 1 534 dead.
2024/9/5,4,Optic Nerve encoding deciphered, Mahan and Kamal demonstrate the first basic deciphering of nerve signals sent by a frog's eye.
2025/5/3,4,Contraceptive Implants,Sandoz starts marketing male and female contraceptive implants based on non-abusive hormal regulation.
2026/8/18,2,Jerusalem II Established,Conservancy designed underwater biosphere ``Jerusalem II'' is established by Israel in Mediteranean.
2026/3/4,4,Maxwell Sweeping Field,Gauss Jammer technology becomes practical [Maxwell Sweeping Field]
2027/1/1,4,1st Artifact,1st atificial factor humanoid produced by General MagnetoheteroDynamics  inc. (gmhd)
2027/1/1,2,1st Gauss Jammer ,"Construction begins on Gauss Jammer ""Athens"" by UN.EEC"
2034/1/1,4,1st Genetically Engineered Human,First genetically-tampered human born. All records of experiment are lost in post announcement riot and fire.
2030/1/1,2,1st Commercial Shuttle Craft,Mitsubishi unveils first commercially obtainable shuttle craft  the Infiniti-2.
2031/1/2,4,Room Temperature Superconductor, Crystol - A room temperature supercoductor (12 degrees celsius) is demonstrated.
2031/7/5,2,Gauss Jammer Athens,"Gauss Jammer ""Athens"" Launches". US registry. Privately sponsored.
2033/7/1,2,Gauss Jammer Einstein,"Gauss Jammer ""Einstein"" Launches". UN registry.
2034/10/17,2,Gauss Jammer Dyson,Gauss Jammer Dyson. UN registry. Privately sponsored.
2034/3/2,4,Artifacts,1st atificial factor humanoid produced by General MagnetoheteroDynamics  inc. (gmd)
2034/7/3,2,Gauss Jammer Hawkings,Gauss Jammer Hawkings - UN Registry
2034/8/6,2,Gauss Jammer Jerusalem,Gauss Jammer Jerusalem - Israeli registry
2034/9/3,2,Gauss Jammer Einst Canton,Gauss Jammer Einst Canton - Swiss registry
2035/1/23,2,Gauss Jammer New Paradise, Gauss Jammer New Paradise. US registry. Privately sponsored.
2035/10/2,2,Gauss Jammer Camelot,Gauss Jammer Camelot. US registry. Privately sponsored.
2035/5/11,2,Gauss Jammer Teng, Gauss Jammer Teng. Chinese registry. 
2035/6/7,2,Gauss Jammer Arcadia, Gauss Jammer Arcadia. Conservancy States Registry. 
2036/1/4,2,Gauss Jammer ,
2036/5/2,2,Gauss Jammer ,
2037/1/8,2,Gauss Jammer ,
2037/5/4,2,Gauss Jammer ,
2037/8/12,2,Gauss Jammer ,
2037/1/20,2,Gauss Jammer ,
2037/10/20,4,Dynamic Fusion Bottle, First dynamically balanced fusion bottle is maintained.
2039/1/1,3,1st Commercial VR Cyberlink,1st generation cyberlinks [Ultraworld  Inc.  a division of Microsoft]
2040/1/1,4,Muscle Linkage Theory Established,Muscle Linkage Theory Established
2040/8/13,2,Gauss Jammer ,
2041/9/20,2,Gauss Jammer ,
2042/1/10,1,Mars Forerunner Remains, The relics of a previous race , dubbed "The Forerunners" is discovered 13 kms from Ares City.
2044/1/1,3,1st Permanent Bionics ,"2nd generation ""bionics""   Powered artificial limbs become pragmatic and useful  although still expensive."
2040/1/10,1,Ares City - Mars Colony,Creation of Ares city on Mars.
2044/2/2,2,Artifact Non-Citizenship Laws,Declaration of artifact non citenship by terra declaration of alphan . proximan aftifact citizenship 
2046/1/1,2,Netrunning comes of age.,Netrunning using cybernetic plug-ins becomes more common.
2047/1/1,4,Lukewarm Fusion Demonstrated,Fusion battery concept invented.  Prototype is the size of a small warehouse.
2042/1/10,1,Lunar Forerunner Remains, Forerunner remains are found under the surface of the moon 120km from Selene.
2053/2/1,1, Chinese Korean War, Korea invades China.
2054/10/11,0, China surrenders, Korea makes China a Protecterate.
2055/2/1,2,Clayton Counterterrorism Act,The Federal Bureau of Intelligence is greated powers of interrogation under the Clayton Counterterrorism Act.
2056/1/1,2,Bureau of Mental Health Established,The Bureau of mental Health is established.
2056/4/16,1,LA Quake of '56,The L.A. Quake of '56. Richter 9.3.
2057/1/3,2,1st Commercial Organ Bank,First commercial Organ bank is opened up.
2058/1/1,2,Rebirth of the Luddite Movement," ""Luddite"" movement begins to take power.  "
2059/1/1,2,ZPG Act,ZPG Act : Enforcement of birth limits by the Dept of Public Health. (Was Bureau of Mental health).
2059/2/3,3,Fusion Torpedo, A non-atmospheric demonstration of a planet based fusion torpedo is demonstrated on Luna.
2060/3/6,1,SERGE Destroys Soccorro NM Bioweapon Facility,2 US biological warfare research units destroyed by Serge.
2060/7/3,2,Socorro Plague Death Toll reaches 1 Million,Socorro Plague Death Toll reaches 1 Million
2061/1/1,0,Mars Independence,"NorAm Combine and UN break into fighting.  Mars colony ""passively"" becomes independent.  "
2063/4/13,3,Rail Gun, First artillery rail gun is demonstrated.
2065/1/1,2,Socorro Plague Toll : 2 Million,Socorro Plague Death Toll reaches 2 Million
2067/1/1,3, ,2nd generation cyberlinks invented by MARS Science Labs.  Only minor surgery required
2068/1/1,2,Socorro Plague Toll : 16 Million,Socorro Plague Death Toll reaches 16 Million
2069/6/4,4,AB Flash Field, Sir Ashley-Barrington (hyphenated and proud of it ) discovers a em field effect that allows for rapid freezing of lab mice. 
2070/1/1,2,Socorro Plague Vaccine,Socorro Plague vaccination program starts.
2072/1/1,2,Socorro Plague Toll : 36 Million,Socorro Plague Death Toll reaches 36 Million
2073/1/1,2,Shipwreck of the Athens,"Gauss Jammer ""Athens"" has an accident 38 light-years out from Sol. "
2078/1/1,2,Landing of the Athens,"Gauss Jammer ""Athens"" arrives at Antonus III.  Only survivors are female.  They name planet ""Elysia""."
2079/9/8,3,Laser Rifle, 3-Man portable laser rifles are issued to US Marines.
2081/7/7,1,Korea Imperial Throne, Korea and its protectorate becomes a hereditary aristocracy.
2084/5/23,3,Directional Cyberlink, Basic directional cyberlink is demonstrated. The beginning of true VR netrunning.
2085/10/1,3,Human Flash Frozen, First Human (Andrea Garelick) surives being flash frozen.
2088/1/1,4,Artifical Gravity,1st generation artificial gravity generator is created by Bill Hyland of CalTech.
2089/1/18,3,Anti-laser aerosol, Anti-laser aerosols come into common military use.
2090/1/1,4,Nano-bots,"In isolated  laboratory conditions on Luna  a crude ""nano-machine"" is constructed."
2091/11/11,2,Conservancy Starts terraforming Mars, Conservancy Starts terrforming Mars
2092/1/1,4,Fusion Drive,"Australian scientist Bob Levecki creates prototype ""fusion drive"""
2096/12/12,4,Graser, Graviton Laser concept validated. No practical application foreseen.
2097/1/1,3,Targeting Cyberlinks,MARS Science Labs produces 3rd generation cyberlinks for its pilots and gunners. Requires training and drugs
2097/1/1,1,Ass'n of Korean Emperor, Ass'n of 1st Korean Emperor
2100/1/1,3,Basic Powered Armor,Demos Construction puts out a suit of powered armor for vacuum combat. (2nd generation powered armor)
2100/6/1,2,UN Cyberban Lifted,UN lifts ban on cybernetic augmentation.  
2101/1/1,3,Interplanetary fusion vessel, Phoebes Shipyards produces an inter-planetary ship with a working Fusion Drive.
2107/11/21,1,Lunar-Terra War, Luna declares independence from UN.
2110/3/1,3,1st Commercial Cyberaugmentation,"3rd generation bionics-now known as cyber augmentation is produced by Levecki Industrial Science.
2112/1/11,0,Lunar Independence,Lunar Independence
2115/1/1,3,Military Gravity Gen,2nd generation gravity generators produced on Io Station.
2116/10/11,4,Empathy Induction, Warner Labs demonstrates induction of rage in a chimpanzee.
2121/1/1,1,Beef and Bread War,Citing unpaid debts Argentina invades Chile against opposition from NorAm and Chilean troops.
2121/1/1,3,3rd gen Powered Armor,Demos Construction outputs 3rd generation powered armor. with Directional Cyberlink.
2122/8/9,4,Antigathic Field, Fionna McIntosh demonstrates the use of a modified Ab Field to slow the aging process.
2123/1/1,2,Costa Rican Conservancy acquires Panama and Nicaragua. ,Costa Rican Conservancy acquires Panama and Nicaragua. 
2124/4/12,1,Belmopan Armistice, Chile Aergentinian war ends with Belmopan Armistice 
2125/1/1,2,Mexico attempts to invade Gautemala.,Mexico attempts to invade Gautemala. NorAm funded Mexican forces are defeated in less than 6 months 
2125/1/1,2,NorAm Combine leaves UN,The NorAm Combine withdraws from the U.N. 
2130/1/1,2,Artifacts used in off-planet mining ,First use of artifacts in mining operations off terra
2131/1/1,1,Creation of the Conservancy, The region is renamed the Conservancy States.
2133/1/1,3,3rd Generation Agrav,Fusion Propulsion Laboratories(FPL) puts out 3rd generation artificial gravity platform.  
2134/1/1,3,Nono-Manufacture ,Expensive and slow but effective nano-technology engineering allows for a whole new set of materials. Requires 0-G environment.
2136/1/1,0,First Contact,1st contact between Gauss jammer Einstein and Alpha Centauran manned probe Fir'A'Naun. 
2138/2/11,4,Transition Drive ,Discovery of Mak'kasonar (Alphan) and Cagson (Terran) transition 
2138/5/1,2,Alphan Return,Arrival on Alpha of Transition Drive equipped Pinnance carrying Mak'kasonor.
2138/12/1,2,Terran Return,Arrival on Terra of Transition Drive equipped Pinnance carrying Eli Cagson and his two sons.
2139/2/16,2,Transition Drive made Public,Transition Drive is put in the public domain by executive decree.
2139/1/1,4,Inertial damping Field,Inertial Dampening Field invented by Judy McInnes based on Alphan spatial mathematics.
2139/12/4,4,FTL Comm,Short-range (interplanetary) FTL communication becomes possible through directed tachyon pulses.
2139/4/1,2,Return of Einstein,Return of Einstein  to terra.
2139/7/1,3,Bacterial Augmentation,Production of bacterial augmentation sera for terran troops.
2140/1/1,0,Diaspora,Ships begin exploring and spreading out through Transition Points.  Colonizations begin. 340 Colony ships leave in 15 years.
2141/1/1,4, ,First successful bacterial augmentation occurs in secret corporate lab.
2143/1/1,2,Liberation and rediscovery of the planet Elysia,Liberation and rediscovery of the planet Elysia
2144/7/7,2,Rediscoveryy of Coven, The Wicca colonised planet of Coven is ''rediscovered''.
2155/1/1,4,Transom Transform Force Screen ,Massive advances in field theory make the Transom Force Screen possible.  
2177/1/1,2,Ship Mounted Force Screens,Ship-mounted Force Screens implemeted by Hokaido Ship Yards.
2179/1/1,4,Tachyon-Net Sensors,Tachyon-net sensors developed by Lowell Dayton.  
2199/1/1,4,Nano-Bots,"Nano-engineering makes vast minituarization possible.   Gabrielle Prossner designs "nano-bots".
2208/1/1,3,Organic Metal Weaves,Nano-bots make possible organic-metal composites.
2209/10/1,3,Crysteel,Spun Silico-Metallic weave is created.
2210/1/1,4,Alphanium,A new element is dicovered.
2215/1/1,3,2nd Gen Force Screens,2nd generation Force Screens invented.  
2216/1/1,2,Karban 541 Born,Karban 541 born on planet Elysia.
2220/1/1,2,Loss of the Randall,First test of cloaking effects using shields on ships. No pieces found.
2221/9/17,4,McPherson Relay Theory, Matter Energy relationship characterised.
2222/1/1,0,Proximan Contact,PROXIMAN CONTACT. Alphan recording of the destruction of the Gauss Jammer Hawkings
2223/8/1,0,Alphan-Terran Coalition,Formation of Alphan.Terran Coalition(ATC). 
2223/8/1,3,Military Artifacts,Production of first military artificial factor humanoid artifact for combat in proximan space.
2222/9/1,2,Mobile Armoured Marine,Major James F. Urlich of the Israeli Defense Force forms a first-strike  mobile  armored  marine unit.  
2225/1/1,4,Micro-Gravity-Generators,Paul Stedman Hodge creates Micro-Gravity-Generators(MGGs).
2226/1/1,3,Fractal Growth Organic Metals,Organic metals become cheaper to create.
2227/1/1,3,Fusion Batteries,1st generation fusion batteries put into production.  
2227/7/1,3,Mauler Mech Suit,Dr. Lisa Randall's team incorporates new fusion batteries into new "Mauler" mech suit design.
2228/9/1,2,MI,On November 18th the Mechanized Infantry of the ATC are created.
2229/2/1,2,MI 1st Action,"MI troops first see action. ""Iron Fist"" division is successful and is decimated in first action."
2230/1/1,3,2nd Gen. Bacterial Aug.,2nd generation bacterial augmentation fully stabilized.  Boosted troops start to appear. 
2233/1/1,3,3rd Gen. Foorce Screens,3rd generation Force Screens appear on ATC ships.
2233/4/1,2,Elysia rediscovered,Elysia discovered and freed.
2235/1/1,0,Battle of Terragoth,The battle of Terragoth ends the Tri-Culture War with the defeat of the Proximans.
2235/9/1,0,Confederation,On November 11th  in orbit around Alpha Prime  The CONFEDERATION is born.  
2236/1/1,2,Elysia joins Confed,The Elysian Council of Elders votes Trocia 12 to represent them on the Confed Council
2240/1/1,3,AI Cyberlink,AI technology makes a huge leap in a Confed lab in New Mexico.
2240/1/1,2,MI Reduction,Senate votes to reduce MI strength.
2240/2/1,2,Marion Sutaken becomes General of the MI,Marion Sutaken becomes General of the M.I. when General Urlich is killed in a shuttle shoot down.
2235/1/1,3,McPherson Relay,McPherson Relay invented- allows for dynamic energy allocation and absorptions on ships.
2243/1/1,2,Antares Revolt,MI put down revolt on Antares 4. 
2245/1/1,3,Neuro-Field BioFeedback Device,"Jason Lockheart invents the ""Neuro-Field BioFeedback Device""(NFBD)."
2245/3/1,3,,Organic Metal components become standard on MI suits.
2245/3/1,4,Matter Transmission,Solange Mithra discovers the first matter transmission relay.
2246/1/1,3,Ion Drive Becomes the standard,Ion Interplanetary Drive replaces advanced Fusion Drive in modern ships.
2247/1/1,3,Marauder Suit,Minituarized force screens become standard on MI suits. ""Marauder"" suit created.
2248/1/1,2,Marion Sutaken becomes Commander General,Marion Sutaken becomes Commander General of all Confed forces
2248/1/1,3,Stealth Suit,Stealth suit invented by Dominique Ratton of New Holland.
2249/1/1,2,Mora 641 on Confed Council,Trocia 12 retires  and Mora 641 replaces her in  the Confed Council.
2250/1/1,2,Pulhar Revolt,Pulhar system rebels.  MI Division sent in.Constitutional Government restored. 
2250/1/1,4,WARP Torpedo,Team of scientists invent the WARP torpedo.  (uses transition effect implosion)
2251/1/1,2,Rossat Piracy,Rossat system attempts piracy against Proximan Heirophant.  MI called in.
2252/1/1,2,SS MI fiasco,Strategic Services fails in attempt to make Strategic Services version of MI.  
2253/1/1,4,3rd Gen AI,Top secret 3rd generation AI constructed in Confed military labs.
2253/2/1,3,SCout and Command Suits,NFBD put into Scout and Command Suits.
2254/1/1,0,Yssdaak First Contact,First contact Yssdock
2255/1/1,0,Yssdaak War,"Yssdock War begins after ""Hell Incident"""
E 2
I 1
E 1
